periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,656.5
2,Feb,Banyuwangi,236.9
3,Mar,Tanjung Emas,253.2
4,Apr,Banyuwangi,245.1
5,Mei,Banyuwangi,253.2
6,Jun,Banyuwangi,295.9
7,Jul,Banyuwangi,253.2
8,Agu,Tanjung Emas,253.2
9,Sep,Banyuwangi,245.0
10,Okt,Banyuwangi,795.6
