negara,initial_ton,optimized_ton,perubahan_ton
USA,183894.1,9527.1,-174367.0
Kanada,19471.8,3759.8,-15712.0
Argentina,2726.0,0.0,-2726.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,0.0,+0.0
Bolivia,1013.6,0.0,-1013.6
Uruguay,0.0,0.0,+0.0
