metrik,initial,optimized,perubahan
Total_Masuk,207105.52,13286.96,-193818.56
Total_Keluar,207105.52,13286.96,-193818.56
Kapasitas_Tahunan,366845.85,366845.85,+0.00
Utilisasi_Rata2,57.58,3.75,-53.83
