periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Perak,274.0
2,Feb,Tanjung Perak,256.3
3,Mar,Tanjung Perak,274.0
4,Apr,Tanjung Perak,265.1
5,Mei,Tanjung Perak,274.0
6,Jun,Tanjung Perak,291.8
7,Jul,Tanjung Perak,274.0
8,Agu,Tanjung Perak,274.0
9,Sep,Tanjung Perak,265.1
10,Okt,Tanjung Perak,275.2
11,Nov,Tanjung Perak,265.1
12,Des,Tanjung Perak,278.3
