metrik,initial,optimized,perubahan
Total_Masuk,7219.19,10410.15,+3190.96
Total_Keluar,7219.19,10410.15,+3190.96
Kapasitas_Tahunan,13054.01,13054.01,+0.00
Utilisasi_Rata2,54.68,77.68,+23.00
