negara,initial_ton,optimized_ton,perubahan_ton
USA,0.0,589.6,+589.6
Kanada,0.0,2550.1,+2550.1
Argentina,0.0,0.0,+0.0
Brazil,0.0,2403.2,+2403.2
Malaysia,7219.2,1750.2,-5469.0
Bolivia,0.0,1919.5,+1919.5
Uruguay,0.0,1197.5,+1197.5
