periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Banyuwangi,1.8
2,Feb,Banyuwangi,0.5
3,Mar,Tanjung Perak,0.6
4,Apr,Banyuwangi,0.6
5,Mei,Banyuwangi,0.6
6,Jun,Banyuwangi,0.7
7,Jul,Banyuwangi,0.6
8,Agu,Tanjung Perak,0.6
9,Sep,Banyuwangi,0.6
10,Okt,Banyuwangi,1.6
