scenario_id,scenario_group,scenario_type,level,eps_import_dep,mean_z_cost_baseline,mean_z_cost_value,mean_z_cost_delta,mean_z_cost_delta_pct,mean_penalty_baseline,mean_penalty_value,mean_penalty_delta,mean_penalty_delta_pct,mean_shortage_baseline,mean_shortage_value,mean_shortage_delta,mean_shortage_delta_pct,mean_import_dep_baseline,mean_import_dep_value,mean_import_dep_delta,mean_import_dep_delta_pct,mean_import_dep_violation_baseline,mean_import_dep_violation_value,mean_import_dep_violation_delta,mean_import_dep_violation_delta_pct,mean_service_rate_baseline,mean_service_rate_value,mean_service_rate_delta,mean_service_rate_delta_pct,mean_local_prod_baseline,mean_local_prod_value,mean_local_prod_delta,mean_local_prod_delta_pct,mean_total_import_baseline,mean_total_import_value,mean_total_import_delta,mean_total_import_delta_pct
S0_BASE,Baseline,baseline,default,0.9,23781657680337.625,23781657680337.625,0.0,0.0,2107332200788.3738,2107332200788.3738,0.0,0.0,0.49555321954473486,0.49555321954473486,0.0,0.0,0.9042714003361985,0.9042714003361985,0.0,0.0,0.004271400336198494,0.004271400336198494,0.0,0.0,0.9999997943194024,0.9999997943194024,0.0,0.0,240142.4265361474,240142.4265361474,0.0,0.0,2268842.8146416442,2268842.8146416442,0.0,0.0
S1_PRICE_25,Harga impor naik,operational_stress,+25%,0.9,23781657680337.625,28697219140752.98,4915561460415.355,20.66954930765604,2107332200788.3738,2246349702789.8916,139017502001.51782,6.596847993378073,0.49555321954473486,1.3854674815726509,0.889914262027916,179.57995769767797,0.9042714003361985,0.9029908853087996,-0.0012805150273988986,-0.14160737881600774,0.004271400336198494,0.0029908853087994625,-0.0012805150273990317,-29.978810849152993,0.9999997943194024,0.9999994249582727,-3.693611297928001e-07,-3.693612057632337e-05,240142.4265361474,240982.85607164446,840.4295354970673,0.34997128479942374,2268842.8146416442,2243232.32825899,-25610.486382654402,-1.1287906864847967
S1_PRICE_50,Harga impor naik,operational_stress,+50%,0.9,23781657680337.625,33833026537450.094,10051368857112.469,42.26521545393707,2107332200788.3738,2628619364657.032,521287163868.65845,24.736829042598966,0.49555321954473486,0.0,-0.49555321954473486,-100.0,0.9042714003361985,0.9029312225232781,-0.0013401778129203956,-0.1482052636434296,0.004271400336198494,0.0029312225232779655,-0.0013401778129205288,-31.375607703240345,0.9999997943194024,1.0,2.0568059755365908e-07,2.05680639858176e-05,240142.4265361474,240982.88333256444,840.4567964170419,0.34998263677931657,2268842.8146416442,2241706.7120364094,-27136.10260523483,-1.196032727790395
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,0.9,23781657680337.625,23690287368391.203,-91370311946.42188,-0.3842049750046049,2107332200788.3738,1969621704340.7246,-137710496447.64917,-6.534826184316375,0.49555321954473486,0.4955532195447704,3.552713678800501e-14,7.169186958495359e-12,0.9042714003361985,0.9036458252155863,-0.0006255751206121207,-0.0691800183417875,0.004271400336198494,0.0036458252155863956,-0.0006255751206120986,-14.645668197162118,0.9999997943194024,0.9999997943194024,0.0,0.0,240142.4265361474,240459.46360895463,317.0370728072303,0.13202043361526056,2268842.8146416442,2255239.352022423,-13603.462619221304,-0.5995771294262148
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,0.9,23781657680337.625,24585109778899.95,803452098562.3242,3.3784528789454753,2107332200788.3738,2864801443378.488,757469242590.114,35.944462971084356,0.49555321954473486,258.6864955672733,258.1909423477286,52101.556838825265,0.9042714003361985,0.9066943167963617,0.002422916460163238,0.26794129055308213,0.004271400336198494,0.006694316796361466,0.0024229164601629717,56.72417168743645,0.9999997943194024,0.9998926315260178,-0.00010716279338462975,-0.010716281542594167,240142.4265361474,240391.45346829033,249.02693214293686,0.10369968178257419,2268842.8146416442,2338670.567303441,69827.75266179675,3.077681371806526
S2_IMPORT_CAP_75,Kapasitas negara sumber impor turun,operational_stress,-75%,0.9,23781657680337.625,27555203256072.297,3773545575734.672,15.867462337810842,2107332200788.3738,7968978388300.245,5861646187511.871,278.15482463177716,0.49555321954473486,1634.7617824882157,1634.266229268671,329786.21968596487,0.9042714003361985,0.9211734870041945,0.016902086667996086,1.8691386968239923,0.004271400336198494,0.021173487004194615,0.01690208666799612,395.7036413739391,0.9999997943194024,0.9993214880524575,-0.0006783062669449835,-0.06783064064594506,240142.4265361474,225185.9274872044,-14956.499048942991,-6.228178529166176,2268842.8146416442,2638461.4230339834,369618.6083923392,16.29106282758152
S3_PORT_CAP_25,Kapasitas pelabuhan terganggu,operational_stress,-25%,0.9,23781657680337.625,23711100507902.508,-70557172435.11719,-0.2966873604166499,2107332200788.3738,1800821631660.1328,-306510569128.24097,-14.544957316818502,0.49555321954473486,0.0023201823039896152,-0.49323303724074524,-99.53179957016097,0.9042714003361985,0.9038372002653994,-0.0004342000707990845,-0.048016565672391445,0.004271400336198494,0.0038372002653993655,-0.00043420007079912875,-10.165286243938509,0.9999997943194024,0.9999999990370025,2.0471760009410644e-07,2.0471764220055342e-05,240142.4265361474,240578.6288129758,436.2022768284078,0.18164315365687725,2268842.8146416442,2261492.1665824214,-7350.648059222847,-0.3239822526173483
S3_PORT_CAP_50,Kapasitas pelabuhan terganggu,operational_stress,-50%,0.9,23781657680337.625,25310156944582.062,1528499264244.4375,6.427219182068125,2107332200788.3738,13266918225867.67,11159586025079.297,529.5598871836337,0.49555321954473486,3805.589997188364,3805.094443968819,767847.7898831053,0.9042714003361985,0.911521077352252,0.007249677016053502,0.8017147300421256,0.004271400336198494,0.011521077352252006,0.007249677016053512,169.72600190657045,0.9999997943194024,0.9984204803976942,-0.0015793139217082919,-0.15793142465425897,240142.4265361474,235998.43455544976,-4143.9919806976395,-1.7256392552000244,2268842.8146416442,2433733.961767792,164891.14712614752,7.26763203083293
S3_PORT_CAP_75,Kapasitas pelabuhan terganggu,operational_stress,-75%,0.9,23781657680337.625,16204989316585.781,-7576668363751.844,-31.859294526874542,2107332200788.3738,145870313908282.2,143762981707493.8,6822.0369647325015,0.49555321954473486,785375.0304011657,785374.5348479461,158484397.6131303,0.9042714003361985,0.8718588073412533,-0.032412592994945144,-3.5843877162204274,0.004271400336198494,0.0,-0.004271400336198494,-100.0,0.9999997943194024,0.6740281384498368,-0.32597165586956567,-32.597172291562444,240142.4265361474,215362.7467305447,-24779.679805602704,-10.318742990578029,2268842.8146416442,1465503.5555274466,-803339.2591141977,-35.40744444392382
S4_DEMAND_25,Demand naik,operational_stress,+25%,0.9,23781657680337.625,32038055435375.49,8256397755037.863,34.717503153130274,2107332200788.3738,15649682359273.879,13542350158485.506,642.6300586788916,0.49555321954473486,206.2425884771281,205.74703525758335,41518.65574531093,0.9042714003361985,0.9301778135685623,0.025906413232363867,2.8648935731830223,0.004271400336198494,0.03017781356856226,0.025906413232363767,606.5086667905315,0.9999997943194024,0.9999315188001713,-6.82755192311646e-05,-0.006827553327411708,240142.4265361474,235048.57262096027,-5093.853915187123,-2.121180329799146,2268842.8146416442,3139852.838031887,871010.0233902428,38.390055836804
S4_DEMAND_50,Demand naik,operational_stress,+50%,0.9,23781657680337.625,37700830378757.695,13919172698420.07,58.52902638460004,2107332200788.3738,17063382564067.865,14956050363279.492,709.7148877469004,0.49555321954473486,453.6741337647184,453.1785805451737,91449.0235703663,0.9042714003361985,0.9410823032921354,0.03681090295593692,4.070780403123556,0.004271400336198494,0.0410823032921353,0.03681090295593681,861.7994114009497,0.9999997943194024,0.9998744676142429,-0.00012532670515952304,-0.012532673093679995,240142.4265361474,233589.14427344274,-6553.282262704655,-2.7289148182727403,2268842.8146416442,3754859.2687204718,1486016.4540788275,65.49666836719751
S4_DEMAND_75,Demand naik,operational_stress,+75%,0.9,23781657680337.625,43926558649989.39,20144900969651.766,84.70772408059392,2107332200788.3738,32203689877673.324,30096357676884.95,1428.1733874528945,0.49555321954473486,1970.0403364030874,1969.5447831835427,397443.64591011335,0.9042714003361985,0.9507413332969575,0.046469932960759075,5.138936490027446,0.004271400336198494,0.05074133329695738,0.04646993296075889,1087.9320434318429,0.9999997943194024,0.9995327599165617,-0.00046703440284079356,-0.046703449890072836,240142.4265361474,228533.75592969818,-11608.670606449217,-4.83407733231255,2268842.8146416442,4429639.302337414,2160796.4876957694,95.23782228329729
