scenario_id,scenario_group,scenario_type,level,target_scope,eps_import_dep,priority_mode,seed,max_iter,z_cost,total_penalty,objective,pen_shortage,pen_import,pen_local,pen_inv_floor,pen_infeas,shortage,import_dep,import_dep_violation,service_rate,local_prod,total_import,total_demand,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val
S1_PRICE_25,Harga impor naik,operational_stress,+25%,all import purchase costs,0.9,balanced,7,500,28848748264500.926,1898516285508.1833,30747264550009.11,0.0,1148899032322.1624,0.0,749617253186.021,0.0,0.0,0.9034038067792056,0.003403806779205598,1.0,240982.89,2253762.3164614425,2409333.82,35.12267740024254,0,0,0.0
S1_PRICE_25,Harga impor naik,operational_stress,+25%,all import purchase costs,0.9,balanced,8,500,28583054592089.73,2301041037907.956,30884095629997.688,0.0,894653780141.1171,0.0,1406387257766.839,0.0,0.0,0.9026505624221227,0.002650562422122693,1.0,240982.89,2234459.1463982007,2409333.82,36.659540500026196,0,0,0.0
S1_PRICE_25,Harga impor naik,operational_stress,+25%,all import purchase costs,0.9,balanced,9,500,28862262021367.7,2172581050724.592,31034843072092.293,1.6549003416077568e-05,1189104202383.1277,0.0,983476848341.4644,0.0,1.1812772982011666e-13,0.9035229213633097,0.0035229213633096723,1.0,240982.89,2256842.43188277,2409333.82,39.098697499837726,31,0,1.1368683772161603e-13
S1_PRICE_25,Harga impor naik,operational_stress,+25%,all import purchase costs,0.9,balanced,10,500,28617980395964.555,2114977749556.9097,30732958145521.465,6.221429855668259e-08,929659693989.3973,0.0,1185318055567.5125,0.0,4.440892098500626e-16,0.9027542733344979,0.0027542733344978476,1.0,240982.89,2237099.163198217,2409333.82,43.2162498999387,34,2,4.440892098500626e-16
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,1,500,34363771170562.992,3654785839580.003,38018557010142.99,0.0,1723701004547.16,0.0,1931084835032.843,0.0,0.0,0.9043155408931682,0.004315540893168213,1.0,240982.83223210473,2277533.0739198755,2409333.82,36.937022199854255,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,2,500,33679925170093.586,2199998178517.9316,35879923348611.516,0.0,1031510542242.9264,0.0,1168487636275.0054,0.0,0.0,0.9025825394978829,0.0025825394978828964,1.0,240982.89,2232730.638949598,2409333.82,42.58840350015089,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,3,500,33798830486121.75,2642333480547.0264,36441163966668.77,0.0,1160336396554.1724,0.0,1481997083992.854,0.0,0.0,0.9029050741143337,0.0029050741143337167,1.0,240982.89,2240947.940080334,2409333.82,39.99586720019579,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,4,500,33552193188964.414,3013493731678.1416,36565686920642.555,0.0,884348376924.7822,0.0,2129145354753.3591,0.0,0.0,0.9022140972096425,0.002214097209642496,1.0,240982.89,2223410.0656660306,2409333.82,40.10746080009267,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,5,500,33673441801382.668,2284381397806.0703,35957823199188.74,0.0,1023113893764.5924,0.0,1261267504041.4778,0.0,0.0,0.902561517244152,0.0025615172441519896,1.0,240982.89,2232196.9377671466,2409333.82,31.988010299857706,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,6,500,33920654105822.543,2750084642563.6357,36670738748386.18,0.0,1225278570763.653,0.0,1524806071799.9827,0.0,0.0,0.9030676664709855,0.0030676664709854418,1.0,240982.89,2245111.081191432,2409333.82,34.374265499878675,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,7,500,34010549172312.637,2355839789399.324,36366388961711.96,0.0,1334161455018.9749,0.0,1021678334380.3496,0.0,0.0,0.9033402709066332,0.003340270906633136,1.0,240982.89,2252122.4834614424,2409333.82,34.964011900126934,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,8,500,33593062300156.266,3130554393694.627,36723616693850.89,0.0,914205276043.9153,0.0,2216349117650.712,0.0,0.0,0.9022888483809605,0.00228884838096044,1.0,240982.88109353938,2225295.298014345,2409333.82,34.852771000005305,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,9,500,33960669745657.027,2183525334866.189,36144195080523.21,0.0,1295223815809.3435,0.0,888301519056.8455,0.0,0.0,0.9032427847568605,0.0032427847568604617,1.0,240982.89,2249610.5959166666,2409333.82,40.30739930039272,0,0,0.0
S1_PRICE_50,Harga impor naik,operational_stress,+50%,all import purchase costs,0.9,balanced,10,500,33777168233427.062,2071196857917.3804,35848365091344.445,0.0,1115925861241.5542,0.0,955270996675.8263,0.0,0.0,0.9027938857581609,0.0027938857581608634,1.0,240982.89,2238109.005397226,2409333.82,43.39589310018346,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,1,500,23893300679446.92,2268175954853.323,26161476634300.246,0.0,1163016613739.0432,0.0,1105159341114.2803,0.0,0.0,0.9042191789236051,0.004219178923605127,1.0,240982.89,2274999.822319744,2409333.82,44.823359800037,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,2,500,23602950554949.645,1672940025801.6074,25275890580751.25,0.0,871942521039.4652,0.0,800997504762.1421,0.0,0.0,0.9031632235205458,0.003163223520545766,1.0,240982.88998611932,2247564.3205589205,2409333.82,40.51854439964518,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,3,500,23575446385052.336,2066587041483.3738,25642033426535.71,566958539.2913613,1067535608160.7565,0.0,998484474783.3259,0.0,4.955532195447349,0.9038727939781267,0.0038727939781266763,0.9999979431940256,239037.71708333332,2247643.4939459506,2409333.82,42.06090719997883,28,2,2.8370131680384247
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,4,500,23368159390916.89,2079704203692.7354,25447863594609.625,0.0,610315866160.806,0.0,1469388337531.9294,0.0,0.0,0.9022140972096425,0.002214097209642496,1.0,240982.89,2223410.06566603,2409333.82,41.80731309996918,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,5,500,23843035738856.375,2522583088617.2866,26365618827473.66,0.0,1140501507191.6958,0.0,1382081581425.5908,0.0,0.0,0.9041374988668587,0.004137498866858658,1.0,240978.34183814857,2272813.1719411444,2409333.82,42.154048999771476,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,6,500,23671514112164.785,2356988160149.784,26028502272314.57,0.0,1052122737699.1622,0.0,1304865422450.622,0.0,0.0,0.9038168793356052,0.00381687933560515,1.0,240009.02741666668,2255325.140977741,2409333.82,34.57361169997603,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,7,500,23652539117813.11,1385132230291.015,25037671348104.125,0.0,882680990911.2761,0.0,502451239379.7388,0.0,0.0,0.9032021804238434,0.0032021804238433482,1.0,240982.89,2248565.8524735267,2409333.82,34.68064199993387,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,8,500,24113844570237.19,2064824100312.5286,26178668670549.72,0.0,1332117402777.8914,0.0,732706697534.6372,0.0,0.0,0.9048326409125822,0.004832640912582176,1.0,240912.38268194464,2290547.8258612985,2409333.82,44.52705800021067,0,0,0.0
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,9,500,23715530847720.01,1774259768912.8838,25489790616632.895,4.0646317658952064e-05,971094074043.472,0.0,803165694869.4117,0.0,3.552713678800501e-13,0.9035229244377427,0.003522924437742714,1.0,240982.89,2256842.5114809177,2409333.82,33.16999399987981,31,0,3.410605131648481e-13
S2_IMPORT_CAP_25,Kapasitas negara sumber impor turun,operational_stress,-25%,all import source capacities,0.9,balanced,10,500,23466552286754.77,1505022469292.711,24971574756047.48,0.0,958389396363.9796,0.0,546633072928.73145,0.0,0.0,0.9034768345473119,0.0034768345473118467,1.0,238742.71708333338,2234681.3149989527,2409333.82,44.49103289982304,0,0,0.0
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,1,500,25254585819998.5,3093425247698.965,28348011067697.46,0.0,2670852447172.7207,0.0,422572800526.2441,0.0,0.0,0.9096892892328869,0.009689289232886922,1.0,240433.73260920527,2421861.03361425,2409333.82,45.17438059998676,0,0,0.0
S2_IMPORT_CAP_50,Kapasitas negara sumber impor turun,operational_stress,-50%,all import source capacities,0.9,balanced,2,500,26517025479996.445,5551338476231.797,32068363956228.242,34424587896.65937,3805940930620.0093,0.0,1710972957715.1284,0.0,300.8899977944153,0.9138071507915373,0.01380715079153727,0.9998751148573533,238656.78880595768,2530213.1464337017,2409333.82,70.13863649964333,9,9,300.8899977944153
