periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Belawan,2.5
1,Jan,Panjang,1030.0
1,Jan,Banyuwangi,9373.6
2,Feb,Banyuwangi,3134.6
3,Mar,Tanjung Perak,3364.7
4,Apr,Banyuwangi,3314.2
5,Mei,Banyuwangi,3371.4
6,Jun,Banyuwangi,3916.3
7,Jul,Banyuwangi,3414.2
8,Agu,Tanjung Perak,3455.1
9,Sep,Banyuwangi,3244.6
10,Okt,Banyuwangi,6355.1
11,Nov,Banyuwangi,3378.1
12,Des,Tanjung Perak,3820.7
