periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Gresik,1.8
2,Feb,Gresik,0.5
3,Mar,Cilacap,0.6
4,Apr,Gresik,0.6
5,Mei,Banyuwangi,0.6
6,Jun,Banyuwangi,0.7
7,Jul,Banyuwangi,0.6
8,Agu,Cilacap,1.2
9,Sep,Gresik,0.6
10,Okt,Banyuwangi,1.1
12,Des,Tanjung Perak,0.1
