periode_t,bulan,produsen_asal,volume_ton
1,Jan,Aceh,2.6
2,Feb,Aceh,18.5
3,Mar,Aceh,16.4
4,Apr,Aceh,18.9
5,Mei,Aceh,14.9
6,Jun,Aceh,13.2
7,Jul,Aceh,12.0
8,Agu,Aceh,12.0
9,Sep,Aceh,12.1
10,Okt,Aceh,12.5
11,Nov,Aceh,14.4
12,Des,Aceh,12.5
1,Jan,Jambi,73.4
2,Feb,Banten,39.0
