periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,25.2
2,Feb,Banyuwangi,25.2
3,Mar,Tanjung Perak,7.7
4,Apr,Banyuwangi,30.0
5,Mei,Banyuwangi,12.4
6,Jun,Banyuwangi,10.2
7,Jul,Banyuwangi,3.5
8,Agu,Tanjung Perak,6.5
9,Sep,Banyuwangi,5.2
10,Okt,Belawan,14.0
11,Nov,Banyuwangi,9.4
12,Des,Tanjung Perak,13.2
