country,port,month,volume_ton
Malaysia,Cigading,Jul,1040.0
Malaysia,Cigading,Okt,993.3
Malaysia,Cigading,Nov,1202.5
Malaysia,Cigading,Des,855.1
Malaysia,Banyuwangi,Jan,23.0
Malaysia,Banyuwangi,Okt,898.4
Bolivia,Batu Ampar,Feb,1102.7
Bolivia,Batu Ampar,Jul,0.0
Bolivia,Batu Ampar,Des,816.8
Bolivia,Tanjung Priok,Apr,37.4
Bolivia,Tanjung Emas,Des,506.4
Bolivia,Tanjung Perak,Mar,0.0
Bolivia,Tanjung Perak,Jul,0.0
Bolivia,Tanjung Perak,Des,2434.7
Bolivia,Cigading,Feb,1212.7
Bolivia,Cigading,Mar,2252.0
Bolivia,Cigading,Jul,1325.9
Bolivia,Cigading,Nov,571.5
Bolivia,Cigading,Des,7065.5
Bolivia,Pontianak,Des,584.1
Uruguay,Panjang,Agu,1373.8
Uruguay,Batu Ampar,Agu,1197.5
Uruguay,Tanjung Priok,Agu,24395.1
Uruguay,Tanjung Perak,Agu,7.5
Uruguay,Cigading,Agu,891.3
Uruguay,Cilacap,Agu,0.6
