province,metric,initial,optimized,change,change_pct
DI Yogyakarta,service_rate,1.000,1.000,0.000,0.00
Jawa Timur,demand_ton,692927.630,692927.630,0.000,0.00
Jawa Timur,local_supply_ton,69656.570,1451.179,-68205.391,-97.92
Jawa Timur,import_received_ton,791369.817,717719.599,-73650.218,-9.31
Jawa Timur,transfer_in_ton,0.000,0.000,0.000,0.00
Jawa Timur,transfer_out_ton,0.000,0.000,0.000,0.00
Jawa Timur,shortage_ton,0.000,0.000,0.000,0.00
Jawa Timur,service_rate,1.000,1.000,0.000,0.00
Banten,demand_ton,94307.980,94307.980,0.000,0.00
Banten,local_supply_ton,1302.403,38.526,-1263.877,-97.04
Banten,import_received_ton,131832.741,105085.696,-26747.045,-20.29
Banten,transfer_in_ton,0.000,0.000,0.000,0.00
Banten,transfer_out_ton,0.000,0.000,0.000,0.00
Banten,shortage_ton,0.000,0.000,0.000,0.00
Banten,service_rate,1.000,1.000,0.000,0.00
Bali,demand_ton,28953.950,28953.950,0.000,0.00
Bali,local_supply_ton,3034.186,67.703,-2966.483,-97.77
Bali,import_received_ton,34697.145,37305.792,2608.647,7.52
Bali,transfer_in_ton,0.000,0.000,0.000,0.00
Bali,transfer_out_ton,0.000,0.000,0.000,0.00
Bali,shortage_ton,0.000,0.000,0.000,0.00
Bali,service_rate,1.000,1.000,0.000,0.00
Nusa Tenggara Barat,demand_ton,39918.370,39918.370,0.000,0.00
Nusa Tenggara Barat,local_supply_ton,8237.970,202.632,-8035.338,-97.54
Nusa Tenggara Barat,import_received_ton,43980.077,51175.029,7194.953,16.36
Nusa Tenggara Barat,transfer_in_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Barat,transfer_out_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Barat,shortage_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Barat,service_rate,1.000,1.000,0.000,0.00
Nusa Tenggara Timur,demand_ton,2883.080,2883.080,0.000,0.00
Nusa Tenggara Timur,local_supply_ton,645.871,21.118,-624.753,-96.73
Nusa Tenggara Timur,import_received_ton,3167.613,3488.153,320.540,10.12
Nusa Tenggara Timur,transfer_in_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Timur,transfer_out_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Timur,shortage_ton,0.000,0.000,0.000,0.00
Nusa Tenggara Timur,service_rate,1.000,1.000,0.000,0.00
Kalimantan Barat,demand_ton,14686.710,14686.710,0.000,0.00
