province,month,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,inventory_ton,shortage_ton,safe_stock
Bengkulu,Feb,5516.0,0.0,5516.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Mar,5897.0,525.0,5372.1,0.0,0.0,3374.0,0.0,0
Bengkulu,Apr,5708.0,5708.0,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Mei,5896.0,5896.0,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Jun,5705.8,5705.8,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Jul,5896.0,0.0,5896.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Agu,5896.1,5896.1,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Sep,5705.8,5705.8,0.0,0.0,0.0,3374.0,0.0,0
Bengkulu,Okt,5896.0,536.3,5359.7,0.0,0.0,3374.0,0.0,0
Bengkulu,Nov,5705.8,0.0,5705.8,0.0,0.0,3374.0,0.0,0
Bengkulu,Des,5896.0,0.0,6533.3,0.0,0.0,4011.3,0.0,0
Lampung,Jan,6368.6,0.0,9944.9,0.0,0.0,3576.2,0.0,0
Lampung,Feb,5957.8,0.0,5957.8,0.0,0.0,3576.2,0.0,0
Lampung,Mar,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Apr,6163.2,6163.2,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Mei,6368.6,6368.6,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Jun,6163.2,369.4,5793.8,0.0,0.0,3576.2,0.0,0
Lampung,Jul,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Agu,6368.6,4673.8,1694.8,0.0,0.0,3576.2,0.0,0
Lampung,Sep,6163.2,6163.2,0.0,0.0,0.0,3576.2,0.0,0
Lampung,Okt,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Lampung,Nov,6163.2,0.0,6163.2,0.0,0.0,3576.2,0.0,0
Lampung,Des,6368.6,0.0,6368.6,0.0,0.0,3576.2,0.0,0
Kep. Bangka Belitung,Jan,570.2,0.0,896.2,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Feb,533.5,0.0,533.5,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Mar,570.2,0.0,570.2,0.0,0.0,326.0,0.0,0
Kep. Bangka Belitung,Apr,551.9,551.9,0.0,0.0,0.0,326.0,0.0,0
