provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Jawa Tengah,344752.0,372139.3,+27387.3
DI Yogyakarta,53622.9,82845.1,+29222.1
Kalimantan Utara,0.0,506.4,+506.4
Jawa Barat,56521.5,0.0,-56521.5
Banten,4859.9,0.0,-4859.9
Bali,1528.8,0.0,-1528.8
Nusa Tenggara Barat,137.3,0.0,-137.3
Kalimantan Barat,1234.7,0.0,-1234.7
Kalimantan Timur,5281.8,0.0,-5281.8
Sulawesi Utara,24.2,0.0,-24.2
Papua Selatan,0.8,0.0,-0.8
Papua Pegunungan,15.5,0.0,-15.5
