metrik,initial,optimized,perubahan
Total_Masuk,467979.47,455490.83,-12488.63
Total_Keluar,467979.47,455490.83,-12488.63
Kapasitas_Tahunan,998656.53,998656.53,+0.00
Utilisasi_Rata2,46.42,46.79,+0.37
