negara,initial_ton,optimized_ton,perubahan_ton
USA,440863.3,347315.3,-93548.0
Kanada,25467.6,107669.1,+82201.4
Argentina,0.0,0.0,+0.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,0.0,+0.0
Bolivia,1648.5,506.4,-1142.0
Uruguay,0.0,0.0,+0.0
