periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,1005.2
2,Feb,Banyuwangi,362.7
3,Mar,Tanjung Perak,387.8
4,Apr,Banyuwangi,375.2
5,Mei,Banyuwangi,387.7
6,Jun,Banyuwangi,453.2
7,Jul,Banyuwangi,387.7
8,Agu,Tanjung Perak,373.2
8,Agu,Pontianak,14.5
9,Sep,Banyuwangi,375.2
10,Okt,Belawan,430.7
11,Nov,Banyuwangi,413.1
12,Des,Pontianak,340.6
