metrik,initial,optimized,perubahan
Total_Masuk,482611.98,605969.54,+123357.56
Total_Keluar,482611.98,605969.54,+123357.56
Kapasitas_Tahunan,817206.56,817206.56,+0.00
Utilisasi_Rata2,59.19,76.67,+17.48
