provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Jawa Barat,244477.1,394686.2,+150209.1
DKI Jakarta,214516.0,211283.3,-3232.7
Sumatera Selatan,774.7,0.0,-774.7
Bengkulu,6895.7,0.0,-6895.7
Lampung,12687.9,0.0,-12687.9
Kep. Bangka Belitung,874.7,0.0,-874.7
Kepulauan Riau,2385.8,0.0,-2385.8
