negara,initial_ton,optimized_ton,perubahan_ton
USA,371921.6,185047.4,-186874.2
Kanada,109630.9,310683.1,+201052.1
Argentina,0.0,0.0,+0.0
Brazil,0.0,82166.5,+82166.5
Malaysia,20.0,3640.0,+3620.0
Bolivia,1039.4,37.4,-1002.0
Uruguay,0.0,24395.1,+24395.1
