provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Kalimantan Timur,0.0,11352.2,+11352.2
Papua Pegunungan,0.0,64.1,+64.1
Sulawesi Utara,0.0,53.5,+53.5
Papua Selatan,0.0,3.5,+3.5
Jawa Tengah,8847.2,0.0,-8847.2
DI Yogyakarta,6669.4,0.0,-6669.4
Jawa Timur,10483.4,0.0,-10483.4
