negara,initial_ton,optimized_ton,perubahan_ton
USA,26000.0,11440.3,-14559.7
Kanada,0.0,10.6,+10.6
Argentina,0.0,0.0,+0.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,22.3,+22.3
Bolivia,0.0,0.0,+0.0
Uruguay,0.0,0.0,+0.0
