periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Belawan,7746.5
2,Feb,Banyuwangi,2297.3
3,Mar,Tanjung Perak,2449.5
4,Apr,Banyuwangi,2376.9
5,Mei,Banyuwangi,2451.8
6,Jun,Banyuwangi,2867.5
7,Jul,Banyuwangi,2452.6
8,Agu,Tanjung Perak,2464.4
9,Sep,Banyuwangi,2369.8
10,Okt,Banyuwangi,4596.5
11,Nov,Banyuwangi,2459.1
12,Des,Tanjung Perak,2774.0
