periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,767.4
2,Feb,Banyuwangi,391.5
3,Mar,Tanjung Perak,399.9
4,Apr,Banyuwangi,287.5
5,Mei,Banyuwangi,183.5
6,Jun,Banyuwangi,126.3
7,Jul,Banyuwangi,261.3
8,Agu,Tanjung Perak,476.9
9,Sep,Banyuwangi,132.6
10,Okt,Banyuwangi,185.4
11,Nov,Banyuwangi,84.9
12,Des,Tanjung Perak,191.0
