negara,initial_ton,optimized_ton,perubahan_ton
USA,3758.1,8505.1,+4747.0
Kanada,0.0,4309.3,+4309.3
Argentina,0.0,0.0,+0.0
Brazil,0.0,260.0,+260.0
Malaysia,0.0,0.0,+0.0
Bolivia,0.0,584.1,+584.1
Uruguay,0.0,0.0,+0.0
