metrik,initial,optimized,perubahan
Total_Masuk,3758.07,13658.55,+9900.48
Total_Keluar,3758.07,13658.55,+9900.48
Kapasitas_Tahunan,15217.79,15217.79,+0.00
Utilisasi_Rata2,29.89,94.54,+64.66
