provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Kalimantan Barat,3758.1,10479.5,+6721.5
Kepulauan Riau,0.0,2788.9,+2788.9
Gorontalo,0.0,355.1,+355.1
Sulawesi Utara,0.0,35.0,+35.0
