negara,initial_ton,optimized_ton,perubahan_ton
USA,728112.4,783660.6,+55548.1
Kanada,101280.9,19668.7,-81612.2
Argentina,0.0,0.0,+0.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,1403.1,+1403.1
Bolivia,1041.6,2434.7,+1393.1
Uruguay,0.0,7.5,+7.5
