metrik,initial,optimized,perubahan
Total_Masuk,830434.93,807174.58,-23260.34
Total_Keluar,830434.92,807174.58,-23260.34
Kapasitas_Tahunan,1541991.08,1541991.08,+0.00
Utilisasi_Rata2,55.08,54.74,-0.34
