periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Perak,68524.4
2,Feb,Tanjung Perak,54844.5
3,Mar,Tanjung Perak,58892.7
4,Apr,Tanjung Perak,56827.8
5,Mei,Tanjung Perak,58567.8
6,Jun,Tanjung Perak,62409.9
7,Jul,Tanjung Perak,58973.3
8,Agu,Tanjung Perak,58857.6
9,Sep,Tanjung Perak,56740.1
10,Okt,Tanjung Perak,60075.9
11,Nov,Tanjung Perak,56676.4
12,Des,Tanjung Perak,66329.1
