periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,2418.5
2,Feb,Banyuwangi,868.8
3,Mar,Tanjung Perak,928.1
4,Apr,Banyuwangi,897.7
5,Mei,Banyuwangi,927.7
6,Jun,Banyuwangi,1084.2
7,Jul,Banyuwangi,927.6
8,Agu,Tanjung Perak,929.2
9,Sep,Banyuwangi,898.4
10,Okt,Belawan,934.9
11,Nov,Banyuwangi,933.7
12,Des,Tanjung Perak,931.4
