periode_t,bulan,produsen_asal,volume_ton
1,Jan,Jambi,2.8
2,Feb,Banten,2.6
3,Mar,Banten,2.8
4,Apr,Banten,2.7
5,Mei,Banten,2.8
6,Jun,Banten,2.7
7,Jul,Banten,2.8
8,Agu,Banten,2.8
9,Sep,Banten,2.7
10,Okt,Banten,2.8
11,Nov,Banten,2.7
12,Des,Banten,2.8
