periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Banyuwangi,15.6
2,Feb,Banyuwangi,4.9
3,Mar,Tanjung Perak,5.0
4,Apr,Banyuwangi,5.0
5,Mei,Banyuwangi,5.0
6,Jun,Banyuwangi,6.0
7,Jul,Banyuwangi,5.0
8,Agu,Tanjung Perak,5.0
9,Sep,Banyuwangi,4.9
10,Okt,Banyuwangi,13.3
