provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Banten,110863.6,105085.7,-5777.9
Bengkulu,78176.8,43659.1,-34517.7
Sumatera Selatan,71769.2,27387.1,-44382.1
Riau,0.0,14861.1,+14861.1
Jambi,19994.9,8074.7,-11920.2
Kep. Bangka Belitung,7589.0,5483.0,-2106.0
Lampung,0.0,321.0,+321.0
Kepulauan Riau,0.0,98.2,+98.2
Sumatera Barat,36.6,0.0,-36.6
Jawa Barat,18500.0,0.0,-18500.0
Jawa Timur,25458.2,0.0,-25458.2
