metrik,initial,optimized,perubahan
Total_Masuk,332388.32,204969.88,-127418.44
Total_Keluar,332388.32,204969.88,-127418.44
Kapasitas_Tahunan,1085816.17,1085816.17,+0.00
Utilisasi_Rata2,33.64,23.13,-10.51
