negara,initial_ton,optimized_ton,perubahan_ton
USA,312213.7,116318.6,-195895.1
Kanada,0.0,54627.1,+54627.1
Argentina,20174.6,0.0,-20174.6
Brazil,0.0,14294.3,+14294.3
Malaysia,0.0,6411.0,+6411.0
Bolivia,0.0,12427.6,+12427.6
Uruguay,0.0,891.3,+891.3
