provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Kepulauan Riau,21.6,2242.0,+2220.4
Kalimantan Barat,0.0,1916.9,+1916.9
Riau,0.0,1500.0,+1500.0
Bengkulu,14.4,0.0,-14.4
Jawa Barat,86.4,0.0,-86.4
Nusa Tenggara Barat,54.0,0.0,-54.0
