metrik,initial,optimized,perubahan
Total_Masuk,176.40,5658.92,+5482.52
Total_Keluar,176.40,5658.92,+5482.52
Kapasitas_Tahunan,9000.00,9000.00,+0.00
Utilisasi_Rata2,1.96,62.88,+60.92
