periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Emas,8171.4
2,Feb,Tanjung Emas,6443.4
3,Mar,Tanjung Emas,6888.1
4,Apr,Tanjung Emas,6669.4
5,Mei,Tanjung Emas,6889.8
6,Jun,Tanjung Emas,6680.1
7,Jul,Tanjung Emas,6895.1
8,Agu,Tanjung Emas,6929.6
9,Sep,Tanjung Emas,6684.9
10,Okt,Tanjung Emas,6887.4
11,Nov,Tanjung Emas,6672.0
12,Des,Tanjung Emas,7033.9
