periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Cigading,17387.7
2,Feb,Cigading,7471.9
3,Mar,Cigading,7986.6
4,Apr,Cigading,7728.9
5,Mei,Cigading,7986.6
6,Jun,Cigading,8244.0
7,Jul,Cigading,7986.8
8,Agu,Cigading,7986.5
9,Sep,Cigading,7731.6
10,Okt,Cigading,7986.7
11,Nov,Cigading,7728.9
12,Des,Cigading,8859.5
