metrik,initial,optimized,perubahan
Total_Masuk,0.00,2012.43,+2012.43
Total_Keluar,0.00,2012.43,+2012.43
Kapasitas_Tahunan,9000.00,9000.00,+0.00
Utilisasi_Rata2,0.00,22.36,+22.36
