periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Cigading,896.2
2,Feb,Cigading,533.5
3,Mar,Cigading,570.2
6,Jun,Cigading,588.6
7,Jul,Cigading,570.2
8,Agu,Cigading,570.2
10,Okt,Cigading,570.2
11,Nov,Cigading,551.9
12,Des,Cigading,631.9
