metrik,initial,optimized,perubahan
Total_Masuk,175915.52,81766.71,-94148.81
Total_Keluar,175915.52,81766.71,-94148.81
Kapasitas_Tahunan,505177.14,505177.14,+0.00
Utilisasi_Rata2,29.76,22.88,-6.88
