negara,initial_ton,optimized_ton,perubahan_ton
USA,169881.5,24367.3,-145514.2
Kanada,5503.0,42046.0,+36543.0
Argentina,0.0,0.0,+0.0
Brazil,0.0,13145.4,+13145.4
Malaysia,0.0,834.1,+834.1
Bolivia,531.0,0.0,-531.0
Uruguay,0.0,1373.8,+1373.8
