metrik,initial,optimized,perubahan
Total_Masuk,80000.00,1.80,-79998.20
Total_Keluar,80000.00,1.80,-79998.20
Kapasitas_Tahunan,281115.14,281115.14,+0.00
Utilisasi_Rata2,26.11,0.00,-26.11
