provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Papua Selatan,0.0,1.8,+1.8
Jawa Barat,9333.3,0.0,-9333.3
Jawa Tengah,9333.3,0.0,-9333.3
DI Yogyakarta,9333.3,0.0,-9333.3
Jawa Timur,24092.4,0.0,-24092.4
Banten,15144.7,0.0,-15144.7
Kalimantan Barat,3211.9,0.0,-3211.9
Kalimantan Tengah,3237.1,0.0,-3237.1
Kalimantan Selatan,8.3,0.0,-8.3
Kalimantan Timur,6284.7,0.0,-6284.7
Sulawesi Utara,18.5,0.0,-18.5
Sulawesi Barat,2.5,0.0,-2.5
