negara,initial_ton,optimized_ton,perubahan_ton
USA,80000.0,1.2,-79998.8
Kanada,0.0,0.0,+0.0
Argentina,0.0,0.0,+0.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,0.0,+0.0
Bolivia,0.0,0.0,+0.0
Uruguay,0.0,0.6,+0.6
