periode_t,bulan,produsen_asal,volume_ton
9,Sep,Sumatera Utara,484.9
9,Sep,Nusa Tenggara Barat,674.0
4,Apr,Kalimantan Selatan,365.4
5,Mei,Kalimantan Selatan,423.4
4,Apr,Sulawesi Tengah,793.5
5,Mei,Sulawesi Tengah,774.1
