config,label,use_tabu,use_prs,SA_COOLING,SA_PAPER,SA_REDU,TABU_TENURE,SUB_IT,PRS_EVERY_ITER,PRS_SUB_IT,PRS_ALPHA,PRS_MOVE_MIN_FRAC,PRS_MOVE_MAX_FRAC,seed,z_cost,total_penalty,objective,shortage,import_dep,service_rate,local_prod,elapsed_seconds,worst_shortage_prov,worst_shortage_month,worst_shortage_val,mean_destruction_scale,min_destruction_scale,max_destruction_scale,std_destruction_scale,shortage_m01,shortage_m02,shortage_m03,shortage_m04,shortage_m05,shortage_m06,shortage_m07,shortage_m08,shortage_m09,shortage_m10,shortage_m11,shortage_m12,d_destroy_random_temporal,d_destroy_cost_based,d_destroy_shortage_based,d_destroy_geographic,d_destroy_bottleneck_port,d_destroy_relatedness,r_repair_greedy,r_repair_regret,r_repair_balanced,r_repair_transfer_focused,d_w_destroy_random_temporal,d_w_destroy_cost_based,d_w_destroy_shortage_based,d_w_destroy_geographic,d_w_destroy_bottleneck_port,d_w_destroy_relatedness,r_w_repair_greedy,r_w_repair_regret,r_w_repair_balanced,r_w_repair_transfer_focused
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,30,23794098120016.285,1504273185450.4316,25298371305466.72,0.0,0.9039663914442276,1.0,240982.88997267815,56.862234900007024,0,0,0.0,0.22724584804667888,0.010964912280701754,0.3495713718565537,0.08343563459837999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,61,102,101,56,101,186,99,116,99,0.130124,0.1,0.108649,0.141139,0.1,0.10096,0.107659,0.116685,0.102477,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,31,23840102993137.9,2412684619790.6357,26252787612928.535,0.0,0.9039506674030332,1.0,240982.8899999999,54.72450380004011,0,0,0.0,0.22349500305749712,0.010964912280701754,0.34867691768448306,0.08161007444819696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,55,91,112,54,100,157,112,122,109,0.124606,0.1,0.188417,0.110283,0.1,0.113152,0.211892,0.100624,0.100002,0.100909
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,32,24156186775368.97,2580353887238.251,26736540662607.22,0.0,0.9053455576343403,1.0,240982.86412772437,58.832685000030324,0,0,0.0,0.2191673826634436,0.010964912280701754,0.34999998610572064,0.08575893415659935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,59,101,95,64,97,171,94,124,111,0.140487,0.1,0.183079,0.192233,0.1,0.128284,0.19837,0.152736,0.123514,0.143947
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,33,23504224016617.43,3052591252489.022,26556815269106.453,4.440892098500626e-16,0.9029212494299332,1.0,240982.89,56.641718400176615,34,2,4.440892098500626e-16,0.21865472561143404,0.010964912280701754,0.34923700114118417,0.08888536525772453,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,75,87,89,69,88,162,108,137,93,0.129667,0.1,0.171587,0.100292,0.1,0.100002,0.28631,0.128204,0.10396,0.10657
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,34,23802574058960.586,2121673176540.8909,25924247235501.477,0.0,0.9041184142897696,1.0,240982.89,58.08528340002522,0,0,0.0,0.2309531868412571,0.010964912280701754,0.34998236178343745,0.07717265675276623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,57,84,91,52,99,209,91,113,87,0.187098,0.1,0.10045,0.113276,0.1,0.106153,0.132703,0.100001,0.100818,0.100005
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,35,23500387200573.773,2080914091488.0088,25581301292061.78,0.0,0.902869152250505,1.0,240982.88999999993,61.243094800040126,0,0,0.0,0.22525499021255777,0.010964912280701754,0.34979446808463943,0.08388198412005904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,68,109,85,61,90,181,81,141,97,0.119734,0.1,0.107682,0.100045,0.1,0.105038,0.110952,0.1,0.1,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,36,24075996984143.473,1410722933689.6306,25486719917833.1,0.0,0.9048858137595562,1.0,240982.8899999999,55.92858489998616,0,0,0.0,0.21631723420913984,0.010964912280701754,0.34854888141593177,0.0839682791745821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,73,97,86,68,88,180,102,108,110,0.102753,0.1,0.122727,0.146604,0.1,0.109317,0.119883,0.102239,0.102227,0.100835
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,37,23326522722193.633,1126746183934.7898,24453268906128.42,0.0,0.902210209321269,1.0,240982.89,57.94195030000992,0,0,0.0,0.22844017257239183,0.010964912280701754,0.34949713555826944,0.07996849600532258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,63,122,73,66,76,206,106,93,95,0.268925,0.1,0.133565,0.101203,0.1,0.101297,0.252771,0.1,0.100012,0.1
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,38,23876146500744.67,2650673924555.229,26526820425299.902,2.543050509450566,0.9047090906340066,0.9999989445005552,240982.88999999998,63.87330830004066,24,7,2.2142252731233967,0.209159914610722,0.010964912280701754,0.3490300928747498,0.09371282467855954,2.8990143619012088e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.2142252731233967,0.0,0.3288252363242705,0.0,0.0,85,70,94,106,60,85,158,104,122,116,0.247374,0.100095,0.123355,0.100012,0.1,0.100827,0.255043,0.1,0.1,0.109713
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,39,23348065739777.13,1480572444965.2832,24828638184742.414,0.0,0.9023150126528562,1.0,240982.89,56.18996820016764,0,0,0.0,0.2227535503963677,0.010964912280701754,0.34999338059332696,0.08383788751600935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,54,103,92,67,91,193,106,116,85,0.101593,0.100001,0.101053,0.172625,0.1,0.123534,0.101399,0.100198,0.182244,0.100017
