config,label,use_tabu,use_prs,SA_COOLING,SA_PAPER,SA_REDU,TABU_TENURE,SUB_IT,PRS_EVERY_ITER,PRS_SUB_IT,PRS_ALPHA,PRS_MOVE_MIN_FRAC,PRS_MOVE_MAX_FRAC,mean_z_cost,std_z_cost,best_z_cost,worst_z_cost,mean_penalty,mean_shortage,std_shortage,best_shortage,worst_shortage,mean_import_dep,mean_service_rate,mean_local_prod,total_elapsed_s,avg_elapsed_s
ALNS-TS,ALNS-TS | geometric | standard SA,True,False,geometric,False,0.99,12,30,,,,,,23788757681432.434,392103997913.5233,23326522722193.633,25436023336440.434,2152730539678.975,22.283474899410436,73.70325833649946,0.0,386.33534425345,0.9039793764940032,0.9999907511882685,240979.87322327064,3315.883952801116,66.31767905602231
ALNS-PRS,ALNS-PRS | geometric | standard SA,False,True,geometric,False,0.99,12,30,True,30,0.09,0.05,0.35,23839333750189.234,576973761039.4618,23269000425809.965,26610787919540.668,2249149997832.871,0.09914511758645642,0.6937696245028275,0.0,4.955532195447349,0.9045106278096346,0.9999999588495722,240040.7563602016,1523.370076698484,30.467401533969678
ALNS,ALNS only | geometric | standard SA,False,False,geometric,False,0.99,12,30,,,,,,24003049099558.34,552155185027.03,23355104674135.02,25908735039849.773,2313766689472.1167,16.324731544699134,80.11561393118494,0.0,444.29724561461194,0.9049102100086754,0.9999932243795321,240509.98000584927,535.0551869994961,10.701103739989922
