negara,initial_ton,optimized_ton,perubahan_ton
USA,58594.6,58934.3,+339.7
Kanada,0.0,15263.9,+15263.9
Argentina,0.0,0.0,+0.0
Brazil,0.0,0.0,+0.0
Malaysia,0.0,921.4,+921.4
Bolivia,0.0,0.0,+0.0
Uruguay,0.0,0.0,+0.0
