metrik,initial,optimized,perubahan
Total_Masuk,58594.61,75119.61,+16525.01
Total_Keluar,58594.61,75119.61,+16525.01
Kapasitas_Tahunan,173724.47,173724.47,+0.00
Utilisasi_Rata2,22.77,36.46,+13.70
