provinsi_tujuan,initial_ton,optimized_ton,perubahan_ton
Kalimantan Barat,2443.0,7059.0,+4616.1
Kep. Bangka Belitung,4811.5,3899.5,-912.0
Maluku Utara,0.0,1023.6,+1023.6
Kalimantan Tengah,0.0,259.4,+259.4
Kepulauan Riau,0.0,196.7,+196.7
Sulawesi Utara,0.0,91.7,+91.7
Papua,0.0,17.2,+17.2
