metrik,initial,optimized,perubahan
Total_Masuk,7254.50,12547.16,+5292.66
Total_Keluar,7254.50,12547.16,+5292.66
Kapasitas_Tahunan,13050.77,13050.77,+0.00
Utilisasi_Rata2,52.51,97.78,+45.27
