periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Perak,1477.2
2,Feb,Tanjung Perak,1178.6
3,Mar,Tanjung Perak,1264.5
4,Apr,Tanjung Perak,1223.7
5,Mei,Tanjung Perak,1264.5
6,Jun,Tanjung Perak,1347.0
7,Jul,Tanjung Perak,1264.5
8,Agu,Tanjung Perak,1264.7
9,Sep,Tanjung Perak,1223.7
10,Okt,Tanjung Perak,1296.9
11,Nov,Tanjung Perak,1223.7
12,Des,Tanjung Perak,1430.5
