periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Banyuwangi,2.3
2,Feb,Banyuwangi,1.8
3,Mar,Tanjung Perak,1.9
4,Apr,Banyuwangi,1.9
5,Mei,Banyuwangi,1.9
6,Jun,Banyuwangi,2.3
7,Jul,Banyuwangi,1.9
8,Agu,Tanjung Perak,1.9
9,Sep,Banyuwangi,1.9
10,Okt,Banyuwangi,7.7
