periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Gresik,31.1
2,Feb,Gresik,10.3
3,Mar,Tanjung Perak,10.7
4,Apr,Gresik,11.4
5,Mei,Banyuwangi,11.7
6,Jun,Banyuwangi,13.6
7,Jul,Banyuwangi,11.5
8,Agu,Tanjung Perak,11.5
9,Sep,Gresik,11.2
10,Okt,Banyuwangi,30.5
