periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Perak,1593.4
2,Feb,Tanjung Perak,1232.0
3,Mar,Tanjung Perak,1363.8
4,Apr,Tanjung Perak,1319.9
5,Mei,Tanjung Perak,1363.8
6,Jun,Tanjung Perak,1452.7
7,Jul,Tanjung Perak,1363.8
8,Agu,Tanjung Perak,1363.6
9,Sep,Tanjung Perak,1319.5
10,Okt,Belawan,1366.7
11,Nov,Tanjung Perak,1318.9
12,Des,Tanjung Perak,1541.8
