periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Tanjung Perak,16.2
2,Feb,Tanjung Perak,4.0
3,Mar,Tanjung Perak,4.9
4,Apr,Tanjung Perak,4.3
5,Mei,Tanjung Perak,4.0
6,Jun,Tanjung Perak,7.0
7,Jul,Tanjung Perak,4.1
8,Agu,Tanjung Perak,4.5
9,Sep,Tanjung Perak,4.3
10,Okt,Belawan,4.3
11,Nov,Tanjung Perak,3.8
12,Des,Tanjung Perak,4.4
