periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Banyuwangi,9.2
2,Feb,Banyuwangi,2.7
3,Mar,Tanjung Perak,3.0
4,Apr,Banyuwangi,2.9
5,Mei,Banyuwangi,3.0
6,Jun,Banyuwangi,3.5
7,Jul,Banyuwangi,3.0
8,Agu,Tanjung Perak,3.0
9,Sep,Banyuwangi,2.9
10,Okt,Banyuwangi,8.0
