periode_t,bulan,pelabuhan_asal,volume_ton
1,Jan,Panjang,10244.6
2,Feb,Gresik,3696.6
3,Mar,Tanjung Perak,3952.8
4,Apr,Gresik,3830.8
5,Mei,Tanjung Perak,3954.9
6,Jun,Tanjung Perak,4211.9
7,Jul,Tanjung Perak,3951.9
8,Agu,Tanjung Perak,3951.9
9,Sep,Gresik,3824.8
10,Okt,Tanjung Perak,4053.1
11,Nov,Tanjung Perak,3825.5
12,Des,Tanjung Perak,4470.6
